image_id,image_name,hex_colors,color_classes
0,abs-wheels-vector-logo-400x400.png,['#1D1D1B'],['black']
1,abta-logo-vector-download-400x400.jpg,"['#FFFFFF', '#007AC7']","['white', 'blue']"
2,ac-cuneo-1905-vector-logo-400x400.png,"['#FFFFFF', '#EF0000', '#CCAD08', '#BE0000', '#DDC747']","['white', 'red_light', 'orange_light', 'red_light', 'green_light']"
3,Adidas-Trefoil-logo-vector-for-free-download.png,['#000000'],['black']
4,adobe-eps-vector-logo-400x400.png,['#1D1D1B'],['black']
5,afc-champions-league-logo.png,"['#00B3EF', '#000000', '#EF3829', '#FDB913', '#002F60', '#CCCCCC']","['blue_light', 'black', 'red_light', 'orange_light', 'blue_dark', 'white']"
6,agoda-logo-preview-400x400.png,"['#929291', '#8150A0', '#2E7FC2', '#ED2024', '#21AE5C', '#F79E1C']","['grey_light', 'pink_dark', 'blue', 'red_light', 'green', 'orange_light']"
7,Agribank-logo-400x400.png,"['#AE1C3F', '#006940', '#FFFFFF', '#671025', '#300711']","['red_dark', 'blue_dark', 'white', 'red_dark', 'black']"
8,aguilas-del-america-vector-logo-400x400.png,"['#005592', '#FCE800']","['blue_dark', 'yellow_dark']"
9,Android-app-on-Google-play-badge-vector.png,"['#A6A8AB', '#231F20', '#F9F9F9']","['grey_light', 'black', 'white']"
10,android-pay-logo.png,"['#FFFFFF', '#78C259', '#C7C6C5']","['white', 'green', 'grey_light']"
11,apple-classic-rainbow-vector-logo-400x400.png,"['#69B012', '#C62D32', '#E68302', '#F8BB13', '#862872', '#1390D0']","['green', 'red_light', 'orange_dark', 'orange_light', 'pink_dark', 'blue']"
12,audi-logo-vector-download-400x400.jpg,"['#FFFFFF', '#4C4C4C', '#D03038']","['white', 'grey_dark', 'red_light']"
13,avg-antivirus-logo-400x400.png,"['#000000', '#00678F', '#388033', '#BD131A', '#D4762A']","['black', 'blue_dark', 'grey_dark', 'red_light', 'orange_dark']"
14,bmw-m-series-vector.gif,"['#FCFEFC', '#3C3234']","['white', 'violett']"
15,bmw-vector-logo-400x400.png,"['#000000', '#FDFDFD', '#97999C', '#00A4E0', '#464C4D', '#CDD9E0']","['black', 'white', 'grey_light', 'blue', 'grey_dark', 'white']"
16,brasao-de-armas-do-estado-de-sao-paulo-logo-vector-400x400.png,"['#EC1C24', '#231F20', '#FFFFFF', '#00A551', '#D0D2D3']","['red_light', 'black', 'white', 'blue_dark', 'white']"
17,burger-king-vector-400x400.jpg,"['#FFFFFF', '#EE1C25', '#174B9F', '#FFCA08']","['white', 'red_light', 'blue_dark', 'yellow_dark']"
18,coca-cola-bottle-logo-vector-400x400.png,"['#E41E31', '#FFFFFF', '#681D06', '#B11423']","['red_light', 'white', 'red_dark', 'red_light']"
19,cork-city-fc-current-vector-logo-400x400.png,"['#000000', '#FE070A', '#FFFFFF', '#195A22']","['black', 'red_light', 'white', 'grey_dark']"
20,cork-city-fc-old-vector-logo-400x400.png,"['#C31929', '#FFFFFF']","['red_light', 'white']"
21,CSS3-logo-vector-400x400.png,"['#1F62AE', '#000000', '#FBFBFB', '#3C9BD5']","['blue', 'black', 'white', 'blue_light']"
23,deftones-logo-vector-400x400.png,"['#EC1C24', '#FFFFFF']","['red_light', 'white']"
24,disneys-zazu-logo-vector-400x400.png,"['#00A5E2', '#000000', '#2E3291', '#FFFFFF', '#F04E27', '#C4DCE4', '#F6A22D']","['blue', 'black', 'blue_dark', 'white', 'orange_dark', 'white', 'orange_light']"
25,eni-logo.png,"['#FFD200', '#000000']","['yellow_dark', 'black']"
26,escudo-de-estados-unidos-mexicanos-logo-vector-400x400.png,"['#231F20', '#854A00', '#808184', '#BF6616', '#047E5B', '#599F56', '#00753D']","['black', 'red_dark', 'grey_light', 'orange_dark', 'blue_dark', 'green', 'blue_dark']"
27,escudo-de-sinaloa-logo-vector-400x400.png,"['#BD1934', '#231F20', '#952F34', '#7AAEDD', '#EC1B2E', '#FBAE17', '#945436']","['red_light', 'black', 'red_dark', 'blue_light', 'red_light', 'orange_light', 'brown']"
